model,mae,rmse,r2
Baseline (mesh average),1115.2744123798038,3570.162648842547,0.8308046578568364
Random Forest,582.1105378662362,998.1758421499138,0.9867740612068159
XGBoost,645.3025512695312,1062.8663486064463,0.985004186630249
